epoch,accuracy,loss,val_accuracy,val_loss
0,0.44538944959640503,1.0867140293121338,0.6834239363670349,0.8711596727371216
1,0.5625,1.0045340061187744,0.6875,0.8695842623710632
2,0.6633840799331665,0.8537489771842957,0.813858687877655,0.6792938709259033
3,0.75,0.663488507270813,0.8192934989929199,0.6768357157707214
4,0.7547000646591187,0.691824734210968,0.85597825050354,0.5410333871841431
5,0.8125,0.5447985529899597,0.8614130616188049,0.5361269116401672
6,0.7963294386863708,0.5938608646392822,0.883152186870575,0.445788711309433
7,0.9375,0.3960595726966858,0.88451087474823,0.4449182152748108
8,0.8312444090843201,0.49988415837287903,0.9008151888847351,0.3705150783061981
9,0.875,0.31708064675331116,0.898097813129425,0.37159812450408936
10,0.8388540744781494,0.4561462700366974,0.907608687877655,0.3254423141479492
11,1.0,0.24675408005714417,0.9103260636329651,0.32621893286705017
12,0.8643688559532166,0.4052038788795471,0.9198369383811951,0.29700857400894165
13,0.9375,0.3892635405063629,0.9198369383811951,0.29783838987350464
14,0.8706356287002563,0.37983497977256775,0.926630437374115,0.27194681763648987
15,1.0,0.21409253776073456,0.926630437374115,0.2672163248062134
16,0.8863025903701782,0.3547173738479614,0.926630437374115,0.25686660408973694
17,0.8125,0.4683191478252411,0.926630437374115,0.2534158229827881
18,0.8948075175285339,0.3272640109062195,0.9347826242446899,0.2419847846031189
19,0.75,0.5320683121681213,0.9334239363670349,0.24548068642616272
20,0.9059982299804688,0.29981666803359985,0.9320651888847351,0.22692106664180756
21,0.9375,0.32876119017601013,0.929347813129425,0.23122534155845642
22,0.9091315865516663,0.286490261554718,0.938858687877655,0.21856383979320526
23,1.0,0.08575185388326645,0.9347826242446899,0.22159963846206665
24,0.9104744791984558,0.26826760172843933,0.9442934989929199,0.2119736522436142
25,0.9375,0.24979029595851898,0.9442934989929199,0.21021044254302979
26,0.9198746681213379,0.24839003384113312,0.94701087474823,0.2042555958032608
27,0.9375,0.22127988934516907,0.94701087474823,0.2026664763689041
28,0.9297224879264832,0.23387393355369568,0.9442934989929199,0.20037582516670227
29,1.0,0.1051599308848381,0.9442934989929199,0.2004190981388092
